Table Description,Table Name,Name,Name clean,Description,Description clean,'Type / Format',Last Updated,Last Updated date,File Name,Comments,Length,Values,Example
Attributes associated with financial interest filers,FILER,ADDRESS1,ADDRESS1,text field of filer home address,text field of filer home address,VARCHAR2,2013-09-27 09:19:44,2013-09-27T09:19:44Z,ADDRESS1_20471,NULL,150.0,NULL,NULL
back up filer table no longer used,FILER_20120524,ADDRESS1,ADDRESS1,home address of filer,home address of filer,VARCHAR2,2013-09-27 09:19:44,2013-09-27T09:19:44Z,ADDRESS1_20498,NULL,150.0,NULL,NULL
back up filer table no longer used,FILER_BKP_20120329,ADDRESS1,ADDRESS1,text field of filer home address,text field of filer home address,VARCHAR2,2013-09-27 09:19:45,2013-09-27T09:19:45Z,ADDRESS1_20525,NULL,150.0,NULL,NULL
data associated with a financial interest statement,STATEMENT,ADDRESS1,ADDRESS1,Statement - Address,Statement - Address,VARCHAR2,2013-09-27 09:19:45,2013-09-27T09:19:45Z,ADDRESS1_20608,NULL,150.0,NULL,NULL
Homelessness program. If applicant leases their facility,DHS_LEASE_INFORMATION,ADDRESS2,ADDRESS2,property owner address 2,property owner address 2,VARCHAR2,2013-05-07 00:54:17,2013-05-07T00:54:17Z,ADDRESS2_16950,NULL,100.0,NULL,NULL
Attributes associated with financial interest filers,FILER,ADDRESS2,ADDRESS2,NULL,NULL,VARCHAR2,2013-09-27 09:19:44,2013-09-27T09:19:44Z,ADDRESS2_20472,NULL,150.0,NULL,NULL
back up filer table no longer used,FILER_20120524,ADDRESS2,ADDRESS2,text field of filer home address,text field of filer home address,VARCHAR2,2013-09-27 09:19:44,2013-09-27T09:19:44Z,ADDRESS2_20499,NULL,150.0,NULL,NULL
back up filer table no longer used,FILER_BKP_20120329,ADDRESS2,ADDRESS2,text field of filer home address,text field of filer home address,VARCHAR2,2013-09-27 09:19:45,2013-09-27T09:19:45Z,ADDRESS2_20526,NULL,150.0,NULL,NULL
data associated with a financial interest statement,STATEMENT,ADDRESS2,ADDRESS2,Statement - Address,Statement - Address,VARCHAR2,2013-09-27 09:19:45,2013-09-27T09:19:45Z,ADDRESS2_20609,NULL,150.0,NULL,NULL
Attributes associated with financial interest filers,FILER,ADDRESS3,ADDRESS3,NULL,NULL,VARCHAR2,2013-09-27 09:19:44,2013-09-27T09:19:44Z,ADDRESS3_20473,NULL,150.0,NULL,NULL
back up filer table no longer used,FILER_20120524,ADDRESS3,ADDRESS3,City,City,VARCHAR2,2013-09-27 09:19:44,2013-09-27T09:19:44Z,ADDRESS3_20500,NULL,150.0,NULL,NULL
back up filer table no longer used,FILER_BKP_20120329,ADDRESS3,ADDRESS3,text field of filer home address - city,text field of filer home address - city,VARCHAR2,2013-09-27 09:19:45,2013-09-27T09:19:45Z,ADDRESS3_20527,NULL,150.0,NULL,NULL
data associated with a financial interest statement,STATEMENT,ADDRESS3,ADDRESS3,Statement - Address  - sity,Statement - Address  - sity,VARCHAR2,2013-09-27 09:19:45,2013-09-27T09:19:45Z,ADDRESS3_20610,NULL,150.0,NULL,NULL
Delegate addresses,ADDRESS,ADDRESS_TYPE_CODE,ADDRESS_TYPE_CODE,Corporate address or site address,Corporate address or site address,VARCHAR2,2013-05-07 00:54:16,2013-05-07T00:54:16Z,ADDRESS_TYPE_CODE_16678,NULL,4.0,SITE,NULL
X coordinate low-state plane coordinates,BU50T1_ADDRESSES,ADDR_DEPT_PROJ_ID,ADDR_DEPT_PROJ_ID,used by department to specify a non-cpm project ID,used by department to specify a non-cpm project ID,VARCHAR2,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ADDR_DEPT_PROJ_ID_17421,NULL,400.0,NULL,NULL
Address information stored as part of batch geocoding.,BU50T1_ADDRESSES_TEMP,ADDR_DEPT_PROJ_ID,ADDR_DEPT_PROJ_ID,used by department to specify a non-cpm project ID,used by department to specify a non-cpm project ID,VARCHAR2,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ADDR_DEPT_PROJ_ID_17442,NULL,400.0,NULL,NULL
This table contains all the records (menu address_work_types) that we load into cpm from the menu spreadsheets that BOE and CDOT send to us.  Note that the addresses_temp table only contains the data from the current spreadsheet.,BU50T1_MENU_ADDR_WORK_TYPES_JN,ADDR_DEPT_PROJ_ID,ADDR_DEPT_PROJ_ID,NULL,NULL,VARCHAR2,2013-05-07 00:54:47,2013-05-07T00:54:47Z,ADDR_DEPT_PROJ_ID_18077,NULL,400.0,NULL,NULL
X coordinate low-state plane coordinates,BU50T1_ADDRESSES,ADDR_ENTRY_TYPE,ADDR_ENTRY_TYPE,I intersection,I intersection,VARCHAR2,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ADDR_ENTRY_TYPE_17395,NULL,12.0,NULL,NULL
stores addresses to be batch deleted,BU50T1_ADDR_BATCH_DELETE,ADDR_ENTRY_TYPE,ADDR_ENTRY_TYPE,NULL,NULL,VARCHAR2,2013-05-07 00:54:45,2013-05-07T00:54:45Z,ADDR_ENTRY_TYPE_17491,NULL,12.0,NULL,NULL
X coordinate low-state plane coordinates,BU50T1_ADDRESSES,ADDR_ENTRY_TYPE_CODE_TYPE,ADDR_ENTRY_TYPE_CODE_TYPE,compound foreign key to bu50t1_codes,compound foreign key to bu50t1_codes,NUMBER,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ADDR_ENTRY_TYPE_CODE_TYPE_17417,NULL,22.0,131,NULL
X coordinate low-state plane coordinates,BU50T1_ADDRESSES,ADDR_SEQ,ADDR_SEQ,Application generated Primary key,Application generated Primary key,NUMBER,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ADDR_SEQ_17392,NULL,22.0,NULL,NULL
work types associated to the address table,BU50T1_ADDRESS_WORK_TYPES,ADDR_SEQ,ADDR_SEQ,foreign key to bu50t1_addresses,foreign key to bu50t1_addresses,NUMBER,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ADDR_SEQ_17453,NULL,22.0,NULL,NULL
Contains all the work type information for a CPM number.,BU50T1_ADDRESS_WORK_TYPE_JN,ADDR_SEQ,ADDR_SEQ,foreign key to bu50t1_addresses,foreign key to bu50t1_addresses,NUMBER,2013-05-07 00:54:45,2013-05-07T00:54:45Z,ADDR_SEQ_17481,NULL,22.0,NULL,NULL
stores addresses to be batch deleted,BU50T1_ADDR_BATCH_DELETE,ADDR_SEQ,ADDR_SEQ,Compound primary key along with PROJ_SEQ,Compound primary key along with PROJ_SEQ,NUMBER,2013-05-07 00:54:45,2013-05-07T00:54:45Z,ADDR_SEQ_17490,NULL,22.0,NULL,NULL
Contains the geocoding results for an address/location.,BU50T1_GEO_RESULTS,ADDR_SEQ,ADDR_SEQ,foreign key to bu50t1_addresses,foreign key to bu50t1_addresses,NUMBER,2013-05-07 00:54:47,2013-05-07T00:54:47Z,ADDR_SEQ_18028,NULL,22.0,NULL,NULL
work types associated to the address table,BU50T1_ADDRESS_WORK_TYPES,ADDR_WORK_TYPE_SEQ,ADDR_WORK_TYPE_SEQ,Primary key,Primary key,NUMBER,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ADDR_WORK_TYPE_SEQ_17449,NULL,22.0,NULL,NULL
Contains all the work type information for a CPM number.,BU50T1_ADDRESS_WORK_TYPE_JN,ADDR_WORK_TYPE_SEQ,ADDR_WORK_TYPE_SEQ,Foreign key to BU50T1_ADDRESS_WORK_TYPES.,Foreign key to BU50T1_ADDRESS_WORK_TYPES.,NUMBER,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ADDR_WORK_TYPE_SEQ_17468,NULL,22.0,NULL,NULL
Contains the tasks assigned to a project address.,BU50T1_PROJECT_TASKS,ADDR_WORK_TYPE_SEQ,ADDR_WORK_TYPE_SEQ,Foreign key to the BU50T1_ADDRESS_WORK_TYPES,Foreign key to the BU50T1_ADDRESS_WORK_TYPES,NUMBER,2013-05-07 00:54:48,2013-05-07T00:54:48Z,ADDR_WORK_TYPE_SEQ_18468,NULL,22.0,NULL,NULL
work types associated to the address table,BU50T1_ADDRESS_WORK_TYPES,ADDR_WT_DEPT_PROJ_ID,ADDR_WT_DEPT_PROJ_ID,NULL,NULL,VARCHAR2,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ADDR_WT_DEPT_PROJ_ID_17465,NULL,400.0,NULL,NULL
Contains all the work type information for a CPM number.,BU50T1_ADDRESS_WORK_TYPE_JN,ADDR_WT_DEPT_PROJ_ID,ADDR_WT_DEPT_PROJ_ID,NULL,NULL,VARCHAR2,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ADDR_WT_DEPT_PROJ_ID_17478,NULL,15.0,NULL,NULL
Budget Book/Grant Book section,BOOK_SECTION,ADD_TO_TOC,ADD_TO_TOC,T - Display in table of contents,T - Display in table of contents,VARCHAR2,2013-05-07 00:53:46,2013-05-07T00:53:46Z,ADD_TO_TOC_15112,NULL,1.0,T,NULL
revenue collections provided by Dept of Finance revenue collections. Child table of bu25t1_revenue_appr,BU25T1_REVENUE_AMTS,ADJ_CURR_YTD_TOTAL,ADJ_CURR_YTD_TOTAL,adjusted current YTD totals,adjusted current YTD totals,NUMBER,2013-05-07 00:53:51,2013-05-07T00:53:51Z,ADJ_CURR_YTD_TOTAL_16298,NULL,22.0,NULL,NULL
Monthly revenue collection data provided to OBM from Dept of Finance Revenue Section,BU25T1_REVENUE_HOLD,ADJ_CURR_YTD_TOTAL,ADJ_CURR_YTD_TOTAL,adjusted current YTD amounts,adjusted current YTD amounts,VARCHAR2,2013-05-07 00:53:51,2013-05-07T00:53:51Z,ADJ_CURR_YTD_TOTAL_16324,NULL,100.0,NULL,NULL
Revenue collection from Dept of Finance - Revenue section. Itemized data.,BU25T1_RPROGRAM_ITEMS,ADJ_CURR_YTD_TOTAL,ADJ_CURR_YTD_TOTAL,adjusted current YTD totals,adjusted current YTD totals,NUMBER,2013-05-07 00:53:51,2013-05-07T00:53:51Z,ADJ_CURR_YTD_TOTAL_16370,NULL,22.0,NULL,NULL
revenue collections provided by Dept of Finance revenue collections. Child table of bu25t1_revenue_appr,BU25T1_REVENUE_AMTS,ADJ_PREV_YTD_TOTAL,ADJ_PREV_YTD_TOTAL,adjust previous YTD totals,adjust previous YTD totals,NUMBER,2013-05-07 00:53:51,2013-05-07T00:53:51Z,ADJ_PREV_YTD_TOTAL_16299,NULL,22.0,NULL,NULL
Monthly revenue collection data provided to OBM from Dept of Finance Revenue Section,BU25T1_REVENUE_HOLD,ADJ_PREV_YTD_TOTAL,ADJ_PREV_YTD_TOTAL,adjusted prior YTD amounts,adjusted prior YTD amounts,VARCHAR2,2013-05-07 00:53:51,2013-05-07T00:53:51Z,ADJ_PREV_YTD_TOTAL_16325,NULL,100.0,NULL,NULL
Revenue collection from Dept of Finance - Revenue section. Itemized data.,BU25T1_RPROGRAM_ITEMS,ADJ_PREV_YTD_TOTAL,ADJ_PREV_YTD_TOTAL,adjust previous YTD totals,adjust previous YTD totals,NUMBER,2013-05-07 00:53:51,2013-05-07T00:53:51Z,ADJ_PREV_YTD_TOTAL_16371,NULL,22.0,NULL,NULL
stores general CDOT contact information,BU50T1_CDOT_CONTRACTS,AD_ESTIMATE_HIGH,AD_ESTIMATE_HIGH,NULL,NULL,NUMBER,2013-05-07 00:54:45,2013-05-07T00:54:45Z,AD_ESTIMATE_HIGH_17571,NULL,22.0,NULL,NULL
stores general CDOT contact information,BU50T1_CDOT_CONTRACTS,AD_ESTIMATE_LOW,AD_ESTIMATE_LOW,NULL,NULL,NUMBER,2013-05-07 00:54:45,2013-05-07T00:54:45Z,AD_ESTIMATE_LOW_17570,NULL,22.0,NULL,NULL
Additional agencies that applicant refers clients to.,DHS_SERVICE_LINKAGE,AGENCY,AGENCY,Name of the agency,Name of the agency,VARCHAR2,2013-05-07 00:54:18,2013-05-07T00:54:18Z,AGENCY_17084,NULL,100.0,NULL,NULL
Contains basic audit  information,Audits,AgencyID,AgencyID,Unique row ID for agencies table,Unique row ID for agencies table,Number,2013-05-07 01:04:34,2013-05-07T01:04:34Z,AgencyID_20296,NULL,10.0,NOT NULL,1
Delegate Records.,tblFSSDelegateContacts,AgencyName,AgencyName,Delegate/Agency Name,Delegate/Agency Name,Text,2013-05-07 01:03:19,2013-05-07T01:03:19Z,AgencyName_20196,NULL,255.0,NOT NULL,NULL
stores contract information entered by the procurement department.,BU50T1_DT_CONTRACTS,AGENT_CODE,AGENT_CODE,identifer for the procurement agent,identifer for the procurement agent,NUMBER,2013-05-07 00:54:46,2013-05-07T00:54:46Z,AGENT_CODE_17783,NULL,22.0,NULL,NULL
Homelessness program applicants information on facility details,DHS_BUILDING_SYSTEMS,AIR_CONDITIONING,AIR_CONDITIONING,Does air conditioning need repair or replacement,Does air conditioning need repair or replacement,VARCHAR2,2013-05-07 00:54:17,2013-05-07T00:54:17Z,AIR_CONDITIONING_16880,NULL,25.0,NULL,NULL
List of aldermanic ward offices,WARD_OFFICE,ALDERMAN,ALDERMAN,Name of the alderman,Name of the alderman,VARCHAR2,2013-05-07 00:54:19,2013-05-07T00:54:19Z,ALDERMAN_17370,NULL,60.0,NULL,NULL
Table contains the header information for all CPM projects.,BU50T1_PROJECTS,ALDERMANIC_MENU,ALDERMANIC_MENU,not used,not used,VARCHAR2,2013-05-07 00:54:47,2013-05-07T00:54:47Z,ALDERMANIC_MENU_18208,NULL,1.0,N,NULL
Contains all program/sub-program combinations.,BU50T1_SUB_PROGRAMS,ALDERMANIC_MENU,ALDERMANIC_MENU,Aldermanic menu subprogam,Aldermanic menu subprogam,VARCHAR2,2013-05-07 00:54:49,2013-05-07T00:54:49Z,ALDERMANIC_MENU_18736,NULL,1.0,NULL,NULL
Address information stored as part of batch geocoding.,BU50T1_ADDRESSES_TEMP,ALDERMANIC_MENU_YEAR,ALDERMANIC_MENU_YEAR,NULL,NULL,NUMBER,2013-05-07 00:54:44,2013-05-07T00:54:44Z,ALDERMANIC_MENU_YEAR_17448,NULL,22.0,NULL,NULL
This table contains all the records (menu address_work_types) that we load into cpm from the menu spreadsheets that BOE and CDOT send to us.  Note that the addresses_temp table only contains the data from the current spreadsheet.,BU50T1_MENU_ADDR_WORK_TYPES_JN,ALDERMANIC_MENU_YEAR,ALDERMANIC_MENU_YEAR,NULL,NULL,NUMBER,2013-05-07 00:54:47,2013-05-07T00:54:47Z,ALDERMANIC_MENU_YEAR_18083,NULL,22.0,NULL,NULL
Table contains the header information for all CPM projects.,BU50T1_PROJECTS,ALDERMANIC_MENU_YEAR,ALDERMANIC_MENU_YEAR,not used,not used,VARCHAR2,2013-05-07 00:54:47,2013-05-07T00:54:47Z,ALDERMANIC_MENU_YEAR_18209,NULL,4.0,NULL,NULL
Contains all program/sub-program combinations.,BU50T1_SUB_PROGRAMS,ALDERMANIC_MENU_YEAR,ALDERMANIC_MENU_YEAR,NULL,NULL,VARCHAR2,2013-05-07 00:54:49,2013-05-07T00:54:49Z,ALDERMANIC_MENU_YEAR_18737,NULL,4.0,NULL,NULL
Details of the ethics questions to appear on the form,QUESTION,ALLOWNA,ALLOWNA,Will the question allow an n/a response - yes or no,Will the question allow an n/a response - yes or no,VARCHAR2,2013-09-27 09:19:45,2013-09-27T09:19:45Z,ALLOWNA_20585,NULL,1.0,NULL,NULL
Position table used in producing Budget Book,BU25T1_INPROCESS,ALT_TITLE,ALT_TITLE,alternate title code,alternate title code,VARCHAR2,2013-05-07 00:53:50,2013-05-07T00:53:50Z,ALT_TITLE_16097,NULL,4.0,NULL,NULL
Amendments during Council cycle are entered here.,BU25T1_AMENDMENTS,AMND_TYPE,AMND_TYPE,A - account,A - account,VARCHAR2,2013-05-07 00:53:47,2013-05-07T00:53:47Z,AMND_TYPE_15156,NULL,1.0,A=Account,NULL
Current budget year amendment history is stored here if we ever went past 3 rounds. See bu25t1_amendments for column descriptions.,BU25T1_AMEND_HISTORY,AMND_TYPE,AMND_TYPE,NULL,NULL,VARCHAR2,2013-05-07 00:53:47,2013-05-07T00:53:47Z,AMND_TYPE_15283,NULL,1.0,NULL,NULL
Used for creation of Summary A and B in the Budget Book,BU25T1_EST_REVENUE_PRIOR,AMOUNT,AMOUNT,prior year amount,prior year amount,NUMBER,2013-05-07 00:53:49,2013-05-07T00:53:49Z,AMOUNT_15896,NULL,22.0,NULL,NULL
Historical position counts and appropiation amounts by dept /fund/org and program,BU25T1_HIST_PERS,AMOUNT,AMOUNT,NULL,NULL,NUMBER,2013-05-07 00:53:50,2013-05-07T00:53:50Z,AMOUNT_16066,NULL,22.0,NULL,NULL
TIF amounts listed in Budget Book appendix. Child of BU25T1_TIF_CATEGORY_TYPE.,BU25T1_TIF_AMOUNTS,AMOUNT,AMOUNT,amount,amount,NUMBER,2013-05-07 00:53:51,2013-05-07T00:53:51Z,AMOUNT_16434,NULL,22.0,NULL,NULL
Funding sources other than CDBG money that delegates agencies are using for an application,FUND,AMOUNT,AMOUNT,Amount requested,Amount requested,NUMBER,2013-05-07 00:54:18,2013-05-07T00:54:18Z,AMOUNT_17185,NULL,22.0,NULL,NULL
stores CDOT project number when different than the CPM number,BU50T1_CDOT_CON_DEPT_PROJECTS,AMOUNT,AMOUNT,NULL,NULL,NUMBER,2013-05-07 00:54:45,2013-05-07T00:54:45Z,AMOUNT_17652,NULL,22.0,NULL,NULL
All FMPS funding strips associated to a CPM project.,BU50T1_PROJ_FUNDING_STRIPS_JN,AMOUNT,AMOUNT,NULL,NULL,NUMBER,2013-05-07 00:54:48,2013-05-07T00:54:48Z,AMOUNT_18539,NULL,22.0,NULL,NULL
Used for creation of Summary A and B in the Budget Book,BU25T1_EST_REVENUE_PRIOR,ANALYST_AMOUNT,ANALYST_AMOUNT,"snapshot from Mayors Recommendation for estimated revenue"",NUMBER,2013-05-07 00:53:49,ANALYST_AMOUNT_15862,NULL,22,0,BU25T1_EST_REVENUE,Used in Detail of Revenue Estimates published in the Budget Book,NULL,ANALYST_AMOUNT,
snapshot of Mayors Recommendation amount""","snapshot from Mayors Recommendation for estimated revenue"",NUMBER,2013-05-07 00:53:49,ANALYST_AMOUNT_15862,NULL,22,0,BU25T1_EST_REVENUE,Used in Detail of Revenue Estimates published in the Budget Book,NULL,ANALYST_AMOUNT,
snapshot of Mayors Recommendation amount""",NUMBER,2013-05-07 00:53:49,2013-05-07T00:53:49Z,ANALYST_AMOUNT_15906,NULL,22.0,0,NULL
program items for equipment note requests,BU25T1_EPROGRAM_ITEMS,ANALYST_COMMENT,ANALYST_COMMENT,OBM analyst comment,OBM analyst comment,VARCHAR2,2013-05-07 00:53:49,2013-05-07T00:53:49Z,ANALYST_COMMENT_15797,NULL,500.0,NULL,NULL
Lowest level for budget accounts. Itemizing what is in nonpersonnel accounts,BU25T1_PROGRAM_ITEMS,ANALYST_COMMENT,ANALYST_COMMENT,OBM analysts justification approving,OBM analysts justification approving,VARCHAR2,2013-05-07 00:53:51,2013-05-07T00:53:51Z,ANALYST_COMMENT_16262,NULL,500.0,NULL,NULL
Stores the preliminary yearly budget at the start of the budget cycle.,BU26T1_PRELIM,ANALYST_PRJ_YE,ANALYST_PRJ_YE,analyst projected year end,analyst projected year end,NUMBER,2013-05-07 00:53:52,2013-05-07T00:53:52Z,ANALYST_PRJ_YE_16643,NULL,22.0,NULL,NULL
Appropriation amounts at the account level during the budget budget process. Child of bu25t1_appr table.,BU25T1_APPR_AMTS,ANALYST_REC,ANALYST_REC,OBM analysts recommended amount,OBM analysts recommended amount,NUMBER,2013-05-07 00:53:47,2013-05-07T00:53:47Z,ANALYST_REC_15372,NULL,22.0,NULL,NULL
Stores the preliminary yearly budget at the start of the budget cycle.,BU26T1_PRELIM,ANALYST_REC,ANALYST_REC,Analyst recommendation,Analyst recommendation,NUMBER,2013-05-07 00:53:52,2013-05-07T00:53:52Z,ANALYST_REC_16648,NULL,22.0,NULL,NULL
Dates that system is available to users based upon their role,SYSTEM_SETTINGS,ANALYST_REC_END,ANALYST_REC_END,Date analyst recommendations ends,Date analyst recommendations ends,DATE,2013-05-07 00:54:19,2013-05-07T00:54:19Z,ANALYST_REC_END_17358,NULL,7.0,NULL,NULL
Dates that system is available to users based upon their role,SYSTEM_SETTINGS,ANALYST_REC_START,ANALYST_REC_START,Date analyst recommendations starts,Date analyst recommendations starts,DATE,2013-05-07 00:54:19,2013-05-07T00:54:19Z,ANALYST_REC_START_17357,NULL,7.0,NULL,NULL
Stores the preliminary yearly budget at the start of the budget cycle.,BU26T1_PRELIM,ANL_ACCT_JUST,ANL_ACCT_JUST,Account justification from the analyst,Account justification from the analyst,VARCHAR2,2013-05-07 00:53:52,2013-05-07T00:53:52Z,ANL_ACCT_JUST_16649,NULL,240.0,NULL,NULL
Contains the prior years appropriation.,BU26T1_APPR,ANL_POS_CNT,ANL_POS_CNT,Analyst position count,Analyst position count,NUMBER,2013-05-07 00:53:52,2013-05-07T00:53:52Z,ANL_POS_CNT_16528,NULL,22.0,NULL,NULL
Contains the prior years appropriation.,BU26T1_APPR,ANL_POS_JUST,ANL_POS_JUST,Analyst position justification,Analyst position justification,VARCHAR2,2013-05-07 00:53:52,2013-05-07T00:53:52Z,ANL_POS_JUST_16529,NULL,240.0,NULL,NULL
Annotations entered into the Budget Book application by OBM staff,BOOK_ANNOTATION,ANNOTATION_ID,ANNOTATION_ID,key field,key field,NUMBER,2013-05-07 00:53:46,2013-05-07T00:53:46Z,ANNOTATION_ID_15062,NULL,22.0,NULL,NULL
data used for creating pay schedule for aldermanic staff published in the Budget Book,BOOK_ALDERMANIC_PAYRATE,ANNUAL,ANNUAL,annual amount,annual amount,NUMBER,2013-05-07 00:53:46,2013-05-07T00:53:46Z,ANNUAL_15055,NULL,22.0,NULL,NULL
Child of bu25t1_schedules. Pay rates by chedule,BU25T1_STEPS,ANNUAL,ANNUAL,annual rate,annual rate,NUMBER,2013-05-07 00:53:51,2013-05-07T00:53:51Z,ANNUAL_16408,NULL,22.0,NULL,NULL
Used for applying new step increases in effect for next budget year,BU25T1_STEPS_NEW,ANNUAL,ANNUAL,computed annual salary,computed annual salary,NUMBER,2013-05-07 00:53:51,2013-05-07T00:53:51Z,ANNUAL_16423,NULL,22.0,NULL,NULL
Expenditure data from City Comptrollers FMPS system,BU25T1_FMPS_IMPORT,ANNUAL_APPR,ANNUAL_APPR,not populated,not populated,NUMBER,2013-05-07 00:53:49,2013-05-07T00:53:49Z,ANNUAL_APPR_15946,NULL,22.0,NULL,NULL
Expenditure raw data from City Comptrollers FMPS system,BU25T1_FMPS_IMPORT_DETAIL,ANNUAL_APPR,ANNUAL_APPR,not populated,not populated,NUMBER,2013-05-07 00:53:50,2013-05-07T00:53:50Z,ANNUAL_APPR_15958,NULL,22.0,NULL,NULL
Homelessness program. If applicant owns their facility,DHS_OWNERSHIP_INFORMATION,ANNUAL_COST_PER_SQFT,ANNUAL_COST_PER_SQFT,Annual cost per square foot,Annual cost per square foot,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,ANNUAL_COST_PER_SQFT_17000,NULL,22.0,NULL,NULL
Contains demographic information of registered clients,EPI_PERSON.DBA,Annual_Income,Annual_Income,Client annual income,Client annual income,TEXT,2013-05-07 01:04:49,2013-05-07T01:04:49Z,Annual_Income_20371,Linked to GA_LISTDATA.DBA table,50.0,NULL,$16
Homelessness program. If applicant leases their facility,DHS_LEASE_INFORMATION,ANNUAL_RENT_PER_SQFT,ANNUAL_RENT_PER_SQFT,annual rent per square foot,annual rent per square foot,NUMBER,2013-05-07 00:54:17,2013-05-07T00:54:17Z,ANNUAL_RENT_PER_SQFT_16938,NULL,22.0,NULL,NULL
Table not used,BU50T1_FAQ,ANONYMOUS,ANONYMOUS,NULL,NULL,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,ANONYMOUS_17886,NULL,1.0,N,NULL
Messages to be displayed on CDGA dashboard,SYSTEM_MESSAGE,ANSWER,ANSWER,Answer to the delegates question.,Answer to the delegates question.,CLOB,2013-05-07 00:54:18,2013-05-07T00:54:18Z,ANSWER_17325,NULL,4000.0,NULL,NULL
Table not used,BU50T1_FAQ,ANSWER,ANSWER,NULL,NULL,VARCHAR2,2013-05-07 00:54:46,2013-05-07T00:54:46Z,ANSWER_17885,NULL,1000.0,NULL,NULL
Attributes associated with when the answers to statements questions,STATEMENT_ANSWER,ANSWER,ANSWER,answer given by filer,answer given by filer,VARCHAR2,2013-09-27 09:19:46,2013-09-27T09:19:46Z,ANSWER_20645,NULL,255.0,NULL,NULL
Contains demographic information of registered clients,EPI_PERSON.DBA,Apartment_Num,Apartment_Num,Client apartment home number,Client apartment home number,TEXT,2013-05-07 01:04:49,2013-05-07T01:04:49Z,Apartment_Num_20382,NULL,8.0,NULL,Unit 100
List of fringe benefits that delegate agencies offer to their employees with calulators and determination of City share,FRINGE_BENEFIT,APPLICATION,APPLICATION,Foreign key to APPLICATION.ID,Foreign key to APPLICATION.ID,NUMBER,2013-05-07 00:54:18,2013-05-07T00:54:18Z,APPLICATION_17156,NULL,22.0,NULL,NULL
